Predictor,Coefficient,Standard Error,P-Value
Rainfall_Abbadia_S_Salvatore,-0.002,0.001,0.035
Rainfall_Laghetto_Verde,0.002,0.0,0.0
Rainfall_Vetta_Amiata,0.034,0.014,0.017
Depth_to_Groundwater_S_Fiora_8,0.109,0.006,0.0
Depth_to_Groundwater_S_Fiora_11bis,-0.022,0.002,0.0
