Predictor,Coefficient,Standard Error,P-Value
Rainfall_S_Piero,1.47,0.344,0.0
Rainfall_S_Agata,-1.714,0.526,0.001
Rainfall_Cavallina,2.918,0.49,0.0
Rainfall_Le_Croci,13.414,0.086,0.0
