Predictor,Coefficient,Standard Error,P-Value
Rainfall_Bastia_Umbra,-3.504,0.08,0.0
Temperature_Petrignano,-0.266,0.014,0.0
Volume_C10_Petrignano,0.218,0.014,0.0
Hydrometry_Fiume_Chiascio_Petrignano,0.001,0.0,0.0
