Predictor,Coefficient,Standard Error,P-Value
Rainfall_Vetta_Amiata,-3.91,0.171,0.0
Depth_to_Groundwater_S_Fiora_8,3.682,0.069,0.0
Depth_to_Groundwater_S_Fiora_11bis,-0.066,0.027,0.014
